"KMETIJSKE KULTURE","LETO","STATISTIÈNA REGIJA",Povpreèni pridelek (t/ha) pomembnejših kmetijskih kultur
"Oves","2012","Zasavska",3.2
"Oves","2012","Posavska",3.2
"Oves","2012","Jugovzhodna Slovenija",2.7
"Oves","2012","Osrednjeslovenska",3.1
"Oves","2012","Gorenjska",3.9
"Oves","2012","Primorsko-notranjska",3.2
"Oves","2012","Goriška",2.7
"Oves","2012","Obalno-kraška",2.1
"Oves","2013","Pomurska",2.4
"Oves","2013","Podravska",3.1
"Oves","2013","Koroška",2.3
"Oves","2013","Savinjska",2.7
"Oves","2013","Zasavska",2.6
"Oves","2013","Posavska",2.9
"Oves","2013","Jugovzhodna Slovenija",1.9
"Oves","2013","Osrednjeslovenska",2.9
"Oves","2013","Gorenjska",2.9
"Oves","2013","Primorsko-notranjska",3.3
"Oves","2013","Goriška",2.1
"Oves","2013","Obalno-kraška",2.7
"Oves","2014","Pomurska",3.3
"Oves","2014","Podravska",3.6
"Oves","2014","Koroška",2.4
"Oves","2014","Savinjska",3.1
"Oves","2014","Zasavska",3.3
"Oves","2014","Posavska",3.6
"Oves","2014","Jugovzhodna Slovenija",2.8
"Oves","2014","Osrednjeslovenska",3.5
"Oves","2014","Gorenjska",3.5
"Oves","2014","Primorsko-notranjska",3.3
"Oves","2014","Goriška",2.5
"Oves","2014","Obalno-kraška",2.6
"Oves","2015","Pomurska",3.3
"Oves","2015","Podravska",3.8
"Oves","2015","Koroška",2.8
"Oves","2015","Savinjska",3.3
"Oves","2015","Zasavska",2.6
"Oves","2015","Posavska",3.6
"Oves","2015","Jugovzhodna Slovenija",2.8
"Oves","2015","Osrednjeslovenska",3.4
"Oves","2015","Gorenjska",3.6
"Oves","2015","Primorsko-notranjska",3.3
"Oves","2015","Goriška",2.8
"Oves","2015","Obalno-kraška",2.7
"Oves","2016","Pomurska",3.1
"Oves","2016","Podravska",3.8
"Oves","2016","Koroška",2.8
"Oves","2016","Savinjska",3.0
"Oves","2016","Zasavska",2.5
"Oves","2016","Posavska",3.4
"Oves","2016","Jugovzhodna Slovenija",2.6
"Oves","2016","Osrednjeslovenska",3.5
"Oves","2016","Gorenjska",3.6
"Oves","2016","Primorsko-notranjska",3.2
