"KMETIJSKE KULTURE","LETO","STATISTIÈNA REGIJA",Povpreèni pridelek (t/ha) pomembnejših kmetijskih kultur
"Oljna ogršèica in repica","2018","Primorsko-notranjska",2.3
"Oljna ogršèica in repica","2018","Goriška",2.2
"Oljna ogršèica in repica","2018","Obalno-kraška",2.4
"Oljna ogršèica in repica","2019","Pomurska",3.1
"Oljna ogršèica in repica","2019","Podravska",2.7
"Oljna ogršèica in repica","2019","Koroška",-
"Oljna ogršèica in repica","2019","Savinjska",3.0
"Oljna ogršèica in repica","2019","Zasavska",-
"Oljna ogršèica in repica","2019","Posavska",2.7
"Oljna ogršèica in repica","2019","Jugovzhodna Slovenija",2.9
"Oljna ogršèica in repica","2019","Osrednjeslovenska",2.0
"Oljna ogršèica in repica","2019","Gorenjska",3.0
"Oljna ogršèica in repica","2019","Primorsko-notranjska",2.9
"Oljna ogršèica in repica","2019","Goriška",3.0
"Oljna ogršèica in repica","2019","Obalno-kraška",2.4
"Hmelj","2010","Pomurska",-
"Hmelj","2010","Podravska",0.4
"Hmelj","2010","Koroška",1.9
"Hmelj","2010","Savinjska",1.4
"Hmelj","2010","Zasavska",-
"Hmelj","2010","Posavska",-
"Hmelj","2010","Jugovzhodna Slovenija",-
"Hmelj","2010","Osrednjeslovenska",-
"Hmelj","2010","Gorenjska",-
"Hmelj","2010","Primorsko-notranjska",-
"Hmelj","2010","Goriška",-
"Hmelj","2010","Obalno-kraška",-
"Hmelj","2011","Pomurska",-
"Hmelj","2011","Podravska",1.6
"Hmelj","2011","Koroška",2.1
"Hmelj","2011","Savinjska",1.5
"Hmelj","2011","Zasavska",-
"Hmelj","2011","Posavska",-
"Hmelj","2011","Jugovzhodna Slovenija",-
"Hmelj","2011","Osrednjeslovenska",-
"Hmelj","2011","Gorenjska",-
"Hmelj","2011","Primorsko-notranjska",-
"Hmelj","2011","Goriška",-
"Hmelj","2011","Obalno-kraška",-
"Hmelj","2012","Pomurska",-
"Hmelj","2012","Podravska",1.1
"Hmelj","2012","Koroška",1.7
"Hmelj","2012","Savinjska",1.1
"Hmelj","2012","Zasavska",-
"Hmelj","2012","Posavska",-
"Hmelj","2012","Jugovzhodna Slovenija",-
"Hmelj","2012","Osrednjeslovenska",-
"Hmelj","2012","Gorenjska",-
"Hmelj","2012","Primorsko-notranjska",-
"Hmelj","2012","Goriška",-
"Hmelj","2012","Obalno-kraška",-
"Hmelj","2013","Pomurska",-
"Hmelj","2013","Podravska",1.2
"Hmelj","2013","Koroška",1.6
"Hmelj","2013","Savinjska",0.9
"Hmelj","2013","Zasavska",-
"Hmelj","2013","Posavska",-
"Hmelj","2013","Jugovzhodna Slovenija",-
"Hmelj","2013","Osrednjeslovenska",-
"Hmelj","2013","Gorenjska",-
"Hmelj","2013","Primorsko-notranjska",-
"Hmelj","2013","Goriška",-
"Hmelj","2013","Obalno-kraška",-
"Hmelj","2014","Pomurska",-
"Hmelj","2014","Podravska",1.3
"Hmelj","2014","Koroška",2.1
"Hmelj","2014","Savinjska",1.7
"Hmelj","2014","Zasavska",-
"Hmelj","2014","Posavska",-
"Hmelj","2014","Jugovzhodna Slovenija",-
"Hmelj","2014","Osrednjeslovenska",-
"Hmelj","2014","Gorenjska",-
"Hmelj","2014","Primorsko-notranjska",-
"Hmelj","2014","Goriška",-
"Hmelj","2014","Obalno-kraška",-
"Hmelj","2015","Pomurska",-
"Hmelj","2015","Podravska",0.7
"Hmelj","2015","Koroška",2.0
"Hmelj","2015","Savinjska",1.4
"Hmelj","2015","Zasavska",-
"Hmelj","2015","Posavska",-
"Hmelj","2015","Jugovzhodna Slovenija",-
"Hmelj","2015","Osrednjeslovenska",-
"Hmelj","2015","Gorenjska",-
"Hmelj","2015","Primorsko-notranjska",-
"Hmelj","2015","Goriška",-
"Hmelj","2015","Obalno-kraška",-
"Hmelj","2016","Pomurska",-
"Hmelj","2016","Podravska",1.6
"Hmelj","2016","Koroška",1.9
"Hmelj","2016","Savinjska",1.6
"Hmelj","2016","Zasavska",-
"Hmelj","2016","Posavska",-
"Hmelj","2016","Jugovzhodna Slovenija",-
"Hmelj","2016","Osrednjeslovenska",1.7
"Hmelj","2016","Gorenjska",-
"Hmelj","2016","Primorsko-notranjska",-
"Hmelj","2016","Goriška",-
"Hmelj","2016","Obalno-kraška",-
"Hmelj","2017","Pomurska",-
"Hmelj","2017","Podravska",1.0
"Hmelj","2017","Koroška",1.9
"Hmelj","2017","Savinjska",1.3
"Hmelj","2017","Zasavska",-
"Hmelj","2017","Posavska",-
"Hmelj","2017","Jugovzhodna Slovenija",-
"Hmelj","2017","Osrednjeslovenska",-
"Hmelj","2017","Gorenjska",-
"Hmelj","2017","Primorsko-notranjska",-
"Hmelj","2017","Goriška",-
"Hmelj","2017","Obalno-kraška",-
"Hmelj","2018","Pomurska",-
"Hmelj","2018","Podravska",0.9
"Hmelj","2018","Koroška",2.3
"Hmelj","2018","Savinjska",1.9
"Hmelj","2018","Zasavska",-
"Hmelj","2018","Posavska",-
"Hmelj","2018","Jugovzhodna Slovenija",-
"Hmelj","2018","Osrednjeslovenska",-
"Hmelj","2018","Gorenjska",-
"Hmelj","2018","Primorsko-notranjska",-
"Hmelj","2018","Goriška",-
"Hmelj","2018","Obalno-kraška",-
"Hmelj","2019","Pomurska",-
"Hmelj","2019","Podravska",1.4
"Hmelj","2019","Koroška",1.9
"Hmelj","2019","Savinjska",1.5
"Hmelj","2019","Zasavska",-
"Hmelj","2019","Posavska",-
"Hmelj","2019","Jugovzhodna Slovenija",-
"Hmelj","2019","Osrednjeslovenska",-
"Hmelj","2019","Gorenjska",-
"Hmelj","2019","Primorsko-notranjska",-
"Hmelj","2019","Goriška",-
"Hmelj","2019","Obalno-kraška",-
"Trave (1 do 5 let)","2010","Pomurska",8.7
"Trave (1 do 5 let)","2010","Podravska",8.3
"Trave (1 do 5 let)","2010","Koroška",7.3
"Trave (1 do 5 let)","2010","Savinjska",7.9
"Trave (1 do 5 let)","2010","Zasavska",4.5
"Trave (1 do 5 let)","2010","Posavska",7.0
"Trave (1 do 5 let)","2010","Jugovzhodna Slovenija",6.6
"Trave (1 do 5 let)","2010","Osrednjeslovenska",6.4
"Trave (1 do 5 let)","2010","Gorenjska",8.5
"Trave (1 do 5 let)","2010","Primorsko-notranjska",4.6
"Trave (1 do 5 let)","2010","Goriška",9.1
"Trave (1 do 5 let)","2010","Obalno-kraška",5.7
"Trave (1 do 5 let)","2011","Pomurska",8.4
"Trave (1 do 5 let)","2011","Podravska",7.7
"Trave (1 do 5 let)","2011","Koroška",7.2
"Trave (1 do 5 let)","2011","Savinjska",7.1
"Trave (1 do 5 let)","2011","Zasavska",4.1
"Trave (1 do 5 let)","2011","Posavska",6.0
"Trave (1 do 5 let)","2011","Jugovzhodna Slovenija",7.3
"Trave (1 do 5 let)","2011","Osrednjeslovenska",6.2
"Trave (1 do 5 let)","2011","Gorenjska",8.3
"Trave (1 do 5 let)","2011","Primorsko-notranjska",5.4
"Trave (1 do 5 let)","2011","Goriška",8.3
"Trave (1 do 5 let)","2011","Obalno-kraška",4.9
"Trave (1 do 5 let)","2012","Pomurska",6.1
"Trave (1 do 5 let)","2012","Podravska",6.0
"Trave (1 do 5 let)","2012","Koroška",6.8
"Trave (1 do 5 let)","2012","Savinjska",6.7
"Trave (1 do 5 let)","2012","Zasavska",3.6
"Trave (1 do 5 let)","2012","Posavska",5.3
"Trave (1 do 5 let)","2012","Jugovzhodna Slovenija",5.4
"Trave (1 do 5 let)","2012","Osrednjeslovenska",5.3
"Trave (1 do 5 let)","2012","Gorenjska",7.4
"Trave (1 do 5 let)","2012","Primorsko-notranjska",4.0
"Trave (1 do 5 let)","2012","Goriška",3.7
"Trave (1 do 5 let)","2012","Obalno-kraška",2.1
"Trave (1 do 5 let)","2013","Pomurska",4.9
"Trave (1 do 5 let)","2013","Podravska",4.7
"Trave (1 do 5 let)","2013","Koroška",4.3
"Trave (1 do 5 let)","2013","Savinjska",5.2
"Trave (1 do 5 let)","2013","Zasavska",3.5
"Trave (1 do 5 let)","2013","Posavska",5.4
"Trave (1 do 5 let)","2013","Jugovzhodna Slovenija",5.3
"Trave (1 do 5 let)","2013","Osrednjeslovenska",5.8
"Trave (1 do 5 let)","2013","Gorenjska",5.4
"Trave (1 do 5 let)","2013","Primorsko-notranjska",4.7
"Trave (1 do 5 let)","2013","Goriška",5.2
"Trave (1 do 5 let)","2013","Obalno-kraška",3.0
"Trave (1 do 5 let)","2014","Pomurska",7.7
"Trave (1 do 5 let)","2014","Podravska",6.2
"Trave (1 do 5 let)","2014","Koroška",6.9
"Trave (1 do 5 let)","2014","Savinjska",7.5
"Trave (1 do 5 let)","2014","Zasavska",4.4
"Trave (1 do 5 let)","2014","Posavska",6.4
"Trave (1 do 5 let)","2014","Jugovzhodna Slovenija",8.5
"Trave (1 do 5 let)","2014","Osrednjeslovenska",6.0
"Trave (1 do 5 let)","2014","Gorenjska",8.4
"Trave (1 do 5 let)","2014","Primorsko-notranjska",5.2
"Trave (1 do 5 let)","2014","Goriška",7.3
"Trave (1 do 5 let)","2014","Obalno-kraška",4.3
"Trave (1 do 5 let)","2015","Pomurska",7.3
"Trave (1 do 5 let)","2015","Podravska",7.7
"Trave (1 do 5 let)","2015","Koroška",6.4
"Trave (1 do 5 let)","2015","Savinjska",7.6
"Trave (1 do 5 let)","2015","Zasavska",5.7
"Trave (1 do 5 let)","2015","Posavska",7.3
"Trave (1 do 5 let)","2015","Jugovzhodna Slovenija",8.7
"Trave (1 do 5 let)","2015","Osrednjeslovenska",6.7
"Trave (1 do 5 let)","2015","Gorenjska",7.9
"Trave (1 do 5 let)","2015","Primorsko-notranjska",5.7
"Trave (1 do 5 let)","2015","Goriška",6.2
"Trave (1 do 5 let)","2015","Obalno-kraška",3.7
"Trave (1 do 5 let)","2016","Pomurska",7.9
"Trave (1 do 5 let)","2016","Podravska",7.8
"Trave (1 do 5 let)","2016","Koroška",7.3
"Trave (1 do 5 let)","2016","Savinjska",7.7
"Trave (1 do 5 let)","2016","Zasavska",5.0
"Trave (1 do 5 let)","2016","Posavska",7.6
"Trave (1 do 5 let)","2016","Jugovzhodna Slovenija",9.0
"Trave (1 do 5 let)","2016","Osrednjeslovenska",6.6
"Trave (1 do 5 let)","2016","Gorenjska",8.3
"Trave (1 do 5 let)","2016","Primorsko-notranjska",5.7
"Trave (1 do 5 let)","2016","Goriška",5.7
"Trave (1 do 5 let)","2016","Obalno-kraška",3.9
"Trave (1 do 5 let)","2017","Pomurska",5.6
"Trave (1 do 5 let)","2017","Podravska",6.5
"Trave (1 do 5 let)","2017","Koroška",6.9
"Trave (1 do 5 let)","2017","Savinjska",5.3
"Trave (1 do 5 let)","2017","Zasavska",3.9
"Trave (1 do 5 let)","2017","Posavska",4.7
"Trave (1 do 5 let)","2017","Jugovzhodna Slovenija",5.8
"Trave (1 do 5 let)","2017","Osrednjeslovenska",5.2
"Trave (1 do 5 let)","2017","Gorenjska",7.9
"Trave (1 do 5 let)","2017","Primorsko-notranjska",4.5
"Trave (1 do 5 let)","2017","Goriška",4.5
"Trave (1 do 5 let)","2017","Obalno-kraška",3.9
"Trave (1 do 5 let)","2018","Pomurska",7.2
"Trave (1 do 5 let)","2018","Podravska",8.1
"Trave (1 do 5 let)","2018","Koroška",6.8
"Trave (1 do 5 let)","2018","Savinjska",8.6
"Trave (1 do 5 let)","2018","Zasavska",3.9
"Trave (1 do 5 let)","2018","Posavska",6.7
"Trave (1 do 5 let)","2018","Jugovzhodna Slovenija",7.7
"Trave (1 do 5 let)","2018","Osrednjeslovenska",6.4
"Trave (1 do 5 let)","2018","Gorenjska",8.7
"Trave (1 do 5 let)","2018","Primorsko-notranjska",6.3
"Trave (1 do 5 let)","2018","Goriška",7.0
"Trave (1 do 5 let)","2018","Obalno-kraška",4.3
"Trave (1 do 5 let)","2019","Pomurska",7.8
"Trave (1 do 5 let)","2019","Podravska",8.9
"Trave (1 do 5 let)","2019","Koroška",7.6
"Trave (1 do 5 let)","2019","Savinjska",8.4
"Trave (1 do 5 let)","2019","Zasavska",4.1
"Trave (1 do 5 let)","2019","Posavska",7.9
"Trave (1 do 5 let)","2019","Jugovzhodna Slovenija",7.3
"Trave (1 do 5 let)","2019","Osrednjeslovenska",6.7
"Trave (1 do 5 let)","2019","Gorenjska",8.4
"Trave (1 do 5 let)","2019","Primorsko-notranjska",6.1
"Trave (1 do 5 let)","2019","Goriška",5.4
"Trave (1 do 5 let)","2019","Obalno-kraška",4.2
"Travno deteljne mešanice (1 do 5 let)","2010","Pomurska",8.0
"Travno deteljne mešanice (1 do 5 let)","2010","Podravska",8.1
"Travno deteljne mešanice (1 do 5 let)","2010","Koroška",7.9
"Travno deteljne mešanice (1 do 5 let)","2010","Savinjska",8.0
"Travno deteljne mešanice (1 do 5 let)","2010","Zasavska",5.5
"Travno deteljne mešanice (1 do 5 let)","2010","Posavska",6.9
"Travno deteljne mešanice (1 do 5 let)","2010","Jugovzhodna Slovenija",7.0
"Travno deteljne mešanice (1 do 5 let)","2010","Osrednjeslovenska",7.0
"Travno deteljne mešanice (1 do 5 let)","2010","Gorenjska",7.7
"Travno deteljne mešanice (1 do 5 let)","2010","Primorsko-notranjska",4.9
"Travno deteljne mešanice (1 do 5 let)","2010","Goriška",9.4
"Travno deteljne mešanice (1 do 5 let)","2010","Obalno-kraška",5.2
"Travno deteljne mešanice (1 do 5 let)","2011","Pomurska",8.0
"Travno deteljne mešanice (1 do 5 let)","2011","Podravska",7.1
"Travno deteljne mešanice (1 do 5 let)","2011","Koroška",7.5
"Travno deteljne mešanice (1 do 5 let)","2011","Savinjska",7.7
"Travno deteljne mešanice (1 do 5 let)","2011","Zasavska",4.6
"Travno deteljne mešanice (1 do 5 let)","2011","Posavska",6.3
"Travno deteljne mešanice (1 do 5 let)","2011","Jugovzhodna Slovenija",7.8
"Travno deteljne mešanice (1 do 5 let)","2011","Osrednjeslovenska",6.7
"Travno deteljne mešanice (1 do 5 let)","2011","Gorenjska",7.4
"Travno deteljne mešanice (1 do 5 let)","2011","Primorsko-notranjska",5.7
"Travno deteljne mešanice (1 do 5 let)","2011","Goriška",9.7
"Travno deteljne mešanice (1 do 5 let)","2011","Obalno-kraška",5.4
"Travno deteljne mešanice (1 do 5 let)","2012","Pomurska",5.6
"Travno deteljne mešanice (1 do 5 let)","2012","Podravska",5.8
"Travno deteljne mešanice (1 do 5 let)","2012","Koroška",7.0
"Travno deteljne mešanice (1 do 5 let)","2012","Savinjska",6.3
"Travno deteljne mešanice (1 do 5 let)","2012","Zasavska",3.7
"Travno deteljne mešanice (1 do 5 let)","2012","Posavska",5.8
"Travno deteljne mešanice (1 do 5 let)","2012","Jugovzhodna Slovenija",5.4
"Travno deteljne mešanice (1 do 5 let)","2012","Osrednjeslovenska",6.0
"Travno deteljne mešanice (1 do 5 let)","2012","Gorenjska",6.7
"Travno deteljne mešanice (1 do 5 let)","2012","Primorsko-notranjska",4.3
"Travno deteljne mešanice (1 do 5 let)","2012","Goriška",4.8
"Travno deteljne mešanice (1 do 5 let)","2012","Obalno-kraška",2.0
"Travno deteljne mešanice (1 do 5 let)","2013","Pomurska",5.2
"Travno deteljne mešanice (1 do 5 let)","2013","Podravska",4.6
"Travno deteljne mešanice (1 do 5 let)","2013","Koroška",4.9
"Travno deteljne mešanice (1 do 5 let)","2013","Savinjska",5.4
"Travno deteljne mešanice (1 do 5 let)","2013","Zasavska",3.7
"Travno deteljne mešanice (1 do 5 let)","2013","Posavska",5.7
"Travno deteljne mešanice (1 do 5 let)","2013","Jugovzhodna Slovenija",5.2
"Travno deteljne mešanice (1 do 5 let)","2013","Osrednjeslovenska",6.3
"Travno deteljne mešanice (1 do 5 let)","2013","Gorenjska",5.2
"Travno deteljne mešanice (1 do 5 let)","2013","Primorsko-notranjska",5.1
"Travno deteljne mešanice (1 do 5 let)","2013","Goriška",6.5
"Travno deteljne mešanice (1 do 5 let)","2013","Obalno-kraška",3.0
"Travno deteljne mešanice (1 do 5 let)","2014","Pomurska",8.6
"Travno deteljne mešanice (1 do 5 let)","2014","Podravska",6.6
"Travno deteljne mešanice (1 do 5 let)","2014","Koroška",6.1
"Travno deteljne mešanice (1 do 5 let)","2014","Savinjska",8.1
"Travno deteljne mešanice (1 do 5 let)","2014","Zasavska",4.7
"Travno deteljne mešanice (1 do 5 let)","2014","Posavska",7.0
"Travno deteljne mešanice (1 do 5 let)","2014","Jugovzhodna Slovenija",8.6
"Travno deteljne mešanice (1 do 5 let)","2014","Osrednjeslovenska",7.3
"Travno deteljne mešanice (1 do 5 let)","2014","Gorenjska",7.8
"Travno deteljne mešanice (1 do 5 let)","2014","Primorsko-notranjska",5.6
"Travno deteljne mešanice (1 do 5 let)","2014","Goriška",8.6
"Travno deteljne mešanice (1 do 5 let)","2014","Obalno-kraška",4.7
"Travno deteljne mešanice (1 do 5 let)","2015","Pomurska",7.6
"Travno deteljne mešanice (1 do 5 let)","2015","Podravska",7.4
"Travno deteljne mešanice (1 do 5 let)","2015","Koroška",6.0
"Travno deteljne mešanice (1 do 5 let)","2015","Savinjska",8.6
"Travno deteljne mešanice (1 do 5 let)","2015","Zasavska",6.2
"Travno deteljne mešanice (1 do 5 let)","2015","Posavska",7.9
"Travno deteljne mešanice (1 do 5 let)","2015","Jugovzhodna Slovenija",9.2
"Travno deteljne mešanice (1 do 5 let)","2015","Osrednjeslovenska",7.4
"Travno deteljne mešanice (1 do 5 let)","2015","Gorenjska",7.8
"Travno deteljne mešanice (1 do 5 let)","2015","Primorsko-notranjska",5.7
"Travno deteljne mešanice (1 do 5 let)","2015","Goriška",7.6
"Travno deteljne mešanice (1 do 5 let)","2015","Obalno-kraška",4.0
"Travno deteljne mešanice (1 do 5 let)","2016","Pomurska",7.9
"Travno deteljne mešanice (1 do 5 let)","2016","Podravska",7.4
"Travno deteljne mešanice (1 do 5 let)","2016","Koroška",6.7
"Travno deteljne mešanice (1 do 5 let)","2016","Savinjska",8.5
"Travno deteljne mešanice (1 do 5 let)","2016","Zasavska",5.1
"Travno deteljne mešanice (1 do 5 let)","2016","Posavska",7.9
"Travno deteljne mešanice (1 do 5 let)","2016","Jugovzhodna Slovenija",9.4
"Travno deteljne mešanice (1 do 5 let)","2016","Osrednjeslovenska",7.1
"Travno deteljne mešanice (1 do 5 let)","2016","Gorenjska",7.8
"Travno deteljne mešanice (1 do 5 let)","2016","Primorsko-notranjska",5.7
"Travno deteljne mešanice (1 do 5 let)","2016","Goriška",7.1
"Travno deteljne mešanice (1 do 5 let)","2016","Obalno-kraška",3.9
"Travno deteljne mešanice (1 do 5 let)","2017","Pomurska",6.1
"Travno deteljne mešanice (1 do 5 let)","2017","Podravska",6.3
"Travno deteljne mešanice (1 do 5 let)","2017","Koroška",6.2
"Travno deteljne mešanice (1 do 5 let)","2017","Savinjska",6.9
"Travno deteljne mešanice (1 do 5 let)","2017","Zasavska",3.8
"Travno deteljne mešanice (1 do 5 let)","2017","Posavska",4.8
"Travno deteljne mešanice (1 do 5 let)","2017","Jugovzhodna Slovenija",6.0
"Travno deteljne mešanice (1 do 5 let)","2017","Osrednjeslovenska",6.0
"Travno deteljne mešanice (1 do 5 let)","2017","Gorenjska",7.8
"Travno deteljne mešanice (1 do 5 let)","2017","Primorsko-notranjska",5.0
"Travno deteljne mešanice (1 do 5 let)","2017","Goriška",6.0
"Travno deteljne mešanice (1 do 5 let)","2017","Obalno-kraška",3.7
"Travno deteljne mešanice (1 do 5 let)","2018","Pomurska",7.4
"Travno deteljne mešanice (1 do 5 let)","2018","Podravska",8.2
"Travno deteljne mešanice (1 do 5 let)","2018","Koroška",7.5
"Travno deteljne mešanice (1 do 5 let)","2018","Savinjska",8.5
"Travno deteljne mešanice (1 do 5 let)","2018","Zasavska",4.2
"Travno deteljne mešanice (1 do 5 let)","2018","Posavska",7.3
"Travno deteljne mešanice (1 do 5 let)","2018","Jugovzhodna Slovenija",8.5
"Travno deteljne mešanice (1 do 5 let)","2018","Osrednjeslovenska",6.5
"Travno deteljne mešanice (1 do 5 let)","2018","Gorenjska",7.4
"Travno deteljne mešanice (1 do 5 let)","2018","Primorsko-notranjska",6.5
"Travno deteljne mešanice (1 do 5 let)","2018","Goriška",8.0
"Travno deteljne mešanice (1 do 5 let)","2018","Obalno-kraška",4.2
"Travno deteljne mešanice (1 do 5 let)","2019","Pomurska",7.4
"Travno deteljne mešanice (1 do 5 let)","2019","Podravska",8.3
"Travno deteljne mešanice (1 do 5 let)","2019","Koroška",7.6
"Travno deteljne mešanice (1 do 5 let)","2019","Savinjska",8.7
"Travno deteljne mešanice (1 do 5 let)","2019","Zasavska",4.5
"Travno deteljne mešanice (1 do 5 let)","2019","Posavska",8.2
"Travno deteljne mešanice (1 do 5 let)","2019","Jugovzhodna Slovenija",7.6
"Travno deteljne mešanice (1 do 5 let)","2019","Osrednjeslovenska",7.0
"Travno deteljne mešanice (1 do 5 let)","2019","Gorenjska",7.4
"Travno deteljne mešanice (1 do 5 let)","2019","Primorsko-notranjska",5.8
"Travno deteljne mešanice (1 do 5 let)","2019","Goriška",5.8
"Travno deteljne mešanice (1 do 5 let)","2019","Obalno-kraška",4.2
"Deteljno travne mešanice (1 do 5 let)","2010","Pomurska",7.6
"Deteljno travne mešanice (1 do 5 let)","2010","Podravska",7.7
"Deteljno travne mešanice (1 do 5 let)","2010","Koroška",8.9
"Deteljno travne mešanice (1 do 5 let)","2010","Savinjska",7.7
"Deteljno travne mešanice (1 do 5 let)","2010","Zasavska",5.7
"Deteljno travne mešanice (1 do 5 let)","2010","Posavska",6.6
"Deteljno travne mešanice (1 do 5 let)","2010","Jugovzhodna Slovenija",7.7
"Deteljno travne mešanice (1 do 5 let)","2010","Osrednjeslovenska",6.2
"Deteljno travne mešanice (1 do 5 let)","2010","Gorenjska",10.3
"Deteljno travne mešanice (1 do 5 let)","2010","Primorsko-notranjska",5.0
"Deteljno travne mešanice (1 do 5 let)","2010","Goriška",9.2
"Deteljno travne mešanice (1 do 5 let)","2010","Obalno-kraška",5.6
"Deteljno travne mešanice (1 do 5 let)","2011","Pomurska",8.1
"Deteljno travne mešanice (1 do 5 let)","2011","Podravska",7.1
"Deteljno travne mešanice (1 do 5 let)","2011","Koroška",8.7
"Deteljno travne mešanice (1 do 5 let)","2011","Savinjska",7.3
"Deteljno travne mešanice (1 do 5 let)","2011","Zasavska",4.7
"Deteljno travne mešanice (1 do 5 let)","2011","Posavska",6.8
"Deteljno travne mešanice (1 do 5 let)","2011","Jugovzhodna Slovenija",8.4
"Deteljno travne mešanice (1 do 5 let)","2011","Osrednjeslovenska",6.4
"Deteljno travne mešanice (1 do 5 let)","2011","Gorenjska",9.1
"Deteljno travne mešanice (1 do 5 let)","2011","Primorsko-notranjska",6.2
"Deteljno travne mešanice (1 do 5 let)","2011","Goriška",9.9
"Deteljno travne mešanice (1 do 5 let)","2011","Obalno-kraška",5.5
"Deteljno travne mešanice (1 do 5 let)","2012","Pomurska",6.1
"Deteljno travne mešanice (1 do 5 let)","2012","Podravska",5.0
"Deteljno travne mešanice (1 do 5 let)","2012","Koroška",8.2
"Deteljno travne mešanice (1 do 5 let)","2012","Savinjska",5.1
"Deteljno travne mešanice (1 do 5 let)","2012","Zasavska",4.2
"Deteljno travne mešanice (1 do 5 let)","2012","Posavska",5.6
"Deteljno travne mešanice (1 do 5 let)","2012","Jugovzhodna Slovenija",6.3
"Deteljno travne mešanice (1 do 5 let)","2012","Osrednjeslovenska",5.8
"Deteljno travne mešanice (1 do 5 let)","2012","Gorenjska",7.0
"Deteljno travne mešanice (1 do 5 let)","2012","Primorsko-notranjska",4.6
"Deteljno travne mešanice (1 do 5 let)","2012","Goriška",4.9
"Deteljno travne mešanice (1 do 5 let)","2012","Obalno-kraška",2.4
"Deteljno travne mešanice (1 do 5 let)","2013","Pomurska",6.2
"Deteljno travne mešanice (1 do 5 let)","2013","Podravska",4.3
"Deteljno travne mešanice (1 do 5 let)","2013","Koroška",5.4
"Deteljno travne mešanice (1 do 5 let)","2013","Savinjska",4.5
"Deteljno travne mešanice (1 do 5 let)","2013","Zasavska",4.2
"Deteljno travne mešanice (1 do 5 let)","2013","Posavska",5.3
"Deteljno travne mešanice (1 do 5 let)","2013","Jugovzhodna Slovenija",5.5
"Deteljno travne mešanice (1 do 5 let)","2013","Osrednjeslovenska",6.3
"Deteljno travne mešanice (1 do 5 let)","2013","Gorenjska",6.0
"Deteljno travne mešanice (1 do 5 let)","2013","Primorsko-notranjska",4.5
"Deteljno travne mešanice (1 do 5 let)","2013","Goriška",7.5
"Deteljno travne mešanice (1 do 5 let)","2013","Obalno-kraška",3.5
"Deteljno travne mešanice (1 do 5 let)","2014","Pomurska",8.4
"Deteljno travne mešanice (1 do 5 let)","2014","Podravska",6.9
"Deteljno travne mešanice (1 do 5 let)","2014","Koroška",6.7
"Deteljno travne mešanice (1 do 5 let)","2014","Savinjska",7.5
"Deteljno travne mešanice (1 do 5 let)","2014","Zasavska",5.2
"Deteljno travne mešanice (1 do 5 let)","2014","Posavska",6.9
"Deteljno travne mešanice (1 do 5 let)","2014","Jugovzhodna Slovenija",8.7
"Deteljno travne mešanice (1 do 5 let)","2014","Osrednjeslovenska",6.8
"Deteljno travne mešanice (1 do 5 let)","2014","Gorenjska",8.1
"Deteljno travne mešanice (1 do 5 let)","2014","Primorsko-notranjska",5.6
"Deteljno travne mešanice (1 do 5 let)","2014","Goriška",10.4
"Deteljno travne mešanice (1 do 5 let)","2014","Obalno-kraška",5.1
"Deteljno travne mešanice (1 do 5 let)","2015","Pomurska",7.9
"Deteljno travne mešanice (1 do 5 let)","2015","Podravska",6.7
"Deteljno travne mešanice (1 do 5 let)","2015","Koroška",6.5
"Deteljno travne mešanice (1 do 5 let)","2015","Savinjska",8.6
"Deteljno travne mešanice (1 do 5 let)","2015","Zasavska",6.4
"Deteljno travne mešanice (1 do 5 let)","2015","Posavska",7.9
"Deteljno travne mešanice (1 do 5 let)","2015","Jugovzhodna Slovenija",9.6
"Deteljno travne mešanice (1 do 5 let)","2015","Osrednjeslovenska",6.7
"Deteljno travne mešanice (1 do 5 let)","2015","Gorenjska",7.9
"Deteljno travne mešanice (1 do 5 let)","2015","Primorsko-notranjska",5.6
"Deteljno travne mešanice (1 do 5 let)","2015","Goriška",9.0
"Deteljno travne mešanice (1 do 5 let)","2015","Obalno-kraška",4.7
"Deteljno travne mešanice (1 do 5 let)","2016","Pomurska",7.7
"Deteljno travne mešanice (1 do 5 let)","2016","Podravska",7.1
"Deteljno travne mešanice (1 do 5 let)","2016","Koroška",7.4
"Deteljno travne mešanice (1 do 5 let)","2016","Savinjska",8.4
"Deteljno travne mešanice (1 do 5 let)","2016","Zasavska",5.9
"Deteljno travne mešanice (1 do 5 let)","2016","Posavska",7.8
"Deteljno travne mešanice (1 do 5 let)","2016","Jugovzhodna Slovenija",10.1
"Deteljno travne mešanice (1 do 5 let)","2016","Osrednjeslovenska",6.6
"Deteljno travne mešanice (1 do 5 let)","2016","Gorenjska",8.2
"Deteljno travne mešanice (1 do 5 let)","2016","Primorsko-notranjska",5.5
"Deteljno travne mešanice (1 do 5 let)","2016","Goriška",7.5
"Deteljno travne mešanice (1 do 5 let)","2016","Obalno-kraška",4.5
"Deteljno travne mešanice (1 do 5 let)","2017","Pomurska",5.9
"Deteljno travne mešanice (1 do 5 let)","2017","Podravska",5.7
"Deteljno travne mešanice (1 do 5 let)","2017","Koroška",7.1
"Deteljno travne mešanice (1 do 5 let)","2017","Savinjska",6.8
"Deteljno travne mešanice (1 do 5 let)","2017","Zasavska",4.1
"Deteljno travne mešanice (1 do 5 let)","2017","Posavska",4.9
