"KMETIJSKE KULTURE","STATISTIÈNA REGIJA","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Travno deteljne mešanice (1 do 5 let)","Primorsko-notranjska",4.9,5.7,4.3,5.1,5.6,5.7,5.7,5.0,6.5,5.8
"Travno deteljne mešanice (1 do 5 let)","Goriška",9.4,9.7,4.8,6.5,8.6,7.6,7.1,6.0,8.0,5.8
"Travno deteljne mešanice (1 do 5 let)","Obalno-kraška",5.2,5.4,2.0,3.0,4.7,4.0,3.9,3.7,4.2,4.2
"Deteljno travne mešanice (1 do 5 let)","SLOVENIJA",7.5,7.5,5.6,5.3,7.6,7.7,7.8,6.0,7.7,7.6
"Deteljno travne mešanice (1 do 5 let)","Pomurska",7.6,8.1,6.1,6.2,8.4,7.9,7.7,5.9,6.9,7.3
"Deteljno travne mešanice (1 do 5 let)","Podravska",7.7,7.1,5.0,4.3,6.9,6.7,7.1,5.7,7.8,7.8
"Deteljno travne mešanice (1 do 5 let)","Koroška",8.9,8.7,8.2,5.4,6.7,6.5,7.4,7.1,7.6,7.8
"Deteljno travne mešanice (1 do 5 let)","Savinjska",7.7,7.3,5.1,4.5,7.5,8.6,8.4,6.8,8.3,8.3
"Deteljno travne mešanice (1 do 5 let)","Zasavska",5.7,4.7,4.2,4.2,5.2,6.4,5.9,4.1,4.4,4.8
"Deteljno travne mešanice (1 do 5 let)","Posavska",6.6,6.8,5.6,5.3,6.9,7.9,7.8,4.9,8.1,8.5
"Deteljno travne mešanice (1 do 5 let)","Jugovzhodna Slovenija",7.7,8.4,6.3,5.5,8.7,9.6,10.1,6.7,9.4,8.6
"Deteljno travne mešanice (1 do 5 let)","Osrednjeslovenska",6.2,6.4,5.8,6.3,6.8,6.7,6.6,5.2,6.5,7.2
"Deteljno travne mešanice (1 do 5 let)","Gorenjska",10.3,9.1,7.0,6.0,8.1,7.9,8.2,8.3,8.2,8.3
"Deteljno travne mešanice (1 do 5 let)","Primorsko-notranjska",5.0,6.2,4.6,4.5,5.6,5.6,5.5,5.2,6.7,5.6
"Deteljno travne mešanice (1 do 5 let)","Goriška",9.2,9.9,4.9,7.5,10.4,9.0,7.5,6.4,9.5,6.4
